Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
113	1	-123.2355	0	-123.2355	7.236936	17.3926
114	0	-5.166244	0	-5.166244	16.73219	7.114986
115	1	-153.2081	0	-153.2081	6.629242	21.74046
116	0	2.728666	0	2.728666	19.22675	6.731048
117	1	-180.5105	0	-180.5105	4.832699	26.71653
118	0	32.19993	0	32.19993	23.62042	5.37037
119	1	-149.8986	0	-149.8986	6.393133	21.26729
120	0	-2.431966	0	-2.431966	18.83802	7.001645
121	1	-153.1859	0	-153.1859	6.010686	21.79465
122	0	-4.391572	0	-4.391572	18.21029	7.106261
123	1	-127.0967	0	-127.0967	7.66867	17.92574
124	0	-33.41313	0	-33.41313	14.86608	8.859453
125	1	-127.9672	0	-127.9672	8.132481	17.97385
126	0	-25.0397	0	-25.0397	17.67356	8.26793
127	1	-142.5459	0	-142.5459	6.018452	20.02734
128	0	-25.05818	0	-25.05818	18.30663	8.235636
129	1	-154.0282	0	-154.0282	6.019179	21.93523
130	0	-15.17296	0	-15.17296	16.87124	7.714042
131	1	-172.9665	0	-172.9665	5.076731	25.24669
132	0	-19.75453	0	-19.75453	18.001	7.957967
133	1	-203.5243	0	-203.5243	4.002497	31.69201
134	0	-40.34918	0	-40.34918	14.56656	9.333265
135	1	-244.1659	0	-244.1659	3.11523	42.96091
136	0	-68.5869	0	-68.5869	10.2276	11.47071
137	1	-265.2471	0	-265.2471	2.490384	50.11973
138	0	-87.95273	0	-87.95273	9.978271	13.36922
139	1	-301.408	0	-301.408	2.008942	65.74242
140	0	-90.1445	0	-90.1445	9.011042	13.54144
141	1	-335.6912	0	-335.6912	1.499765	84.67809
142	0	-88.19348	0	-88.19348	10.2872	13.38527
143	1	-343.11	0	-343.11	1.548962	89.58484
144	0	-83.3546	0	-83.3546	9.450488	12.86418
145	1	-350.7148	0	-350.7148	1.523791	94.60717
146	0	-130.3731	0	-130.3731	6.733139	18.32227
147	1	-321.394	0	-321.394	1.892321	76.10148
148	0	-152.7592	0	-152.7592	6.069388	21.72781
149	1	-347.4972	0	-347.4972	1.674997	91.75307
150	0	-198.3011	0	-198.3011	4.621216	30.4909
151	1	-337.1048	0	-337.1048	1.519376	85.66721
152	0	-183.3044	0	-183.3044	4.573959	27.2259
153	1	-322.3134	0	-322.3134	1.781073	76.79119
154	0	-216.811	0	-216.811	4.257181	34.86131
155	1	-333.9247	0	-333.9247	1.746807	83.44728
156	0	-191.7933	0	-191.7933	4.391801	29.04711
157	1	-340.6078	0	-340.6078	1.569297	87.94894
158	0	-180.9033	0	-180.9033	6.855999	25.71663
159	1	-295.862	0	-295.862	1.93009	62.76228
160	0	-131.1907	0	-131.1907	7.767127	18.44481
161	1	-295.0245	0	-295.0245	2.297736	62.56771
162	0	-146.6524	0	-146.6524	6.978952	20.69613
163	1	-275.8416	0	-275.8416	2.522974	54.36462
164	0	-137.6333	0	-137.6333	5.938472	19.1684
165	1	-329.9753	0	-329.9753	1.642642	81.29428
166	0	-125.2574	0	-125.2574	7.986758	17.66052
167	1	-314.4954	0	-314.4954	2.071053	72.06877
168	0	-93.03699	0	-93.03699	10.15041	13.86748
169	1	-300.2594	0	-300.2594	2.502601	64.12843
170	0	-83.27514	0	-83.27514	10.96253	12.88272
171	1	-295.9725	0	-295.9725	2.160106	63.14554
172	0	-51.06572	0	-51.06572	13.95843	10.10391
173	1	-303.185	0	-303.185	2.131593	66.53494
174	0	-64.5692	0	-64.5692	12.3286	11.20178
175	1	-288.4469	0	-288.4469	2.307034	59.69996
176	0	-33.99959	0	-33.99959	12.47204	8.744807
177	1	-283.569	0	-283.569	2.602476	57.27637
178	0	-74.2819	0	-74.2819	11.32842	12.05755
179	1	-283.2782	0	-283.2782	2.567175	57.23524
180	0	-85.4863	0	-85.4863	12.41833	12.8826
181	1	-259.722	0	-259.722	2.673931	48.18964
182	0	-90.88504	0	-90.88504	9.822949	13.66669
183	1	-309.377	0	-309.377	1.810259	69.61587
184	0	-85.26431	0	-85.26431	10.39734	13.09791
185	1	-320.1029	0	-320.1029	2.137382	74.44073
186	0	-68.52171	0	-68.52171	12.0104	11.53903
187	1	-322.5638	0	-322.5638	1.437226	75.23674
188	0	-86.88572	0	-86.88572	10.21915	13.26008
189	1	-361.1414	0	-361.1414	1.298707	102.4525
190	0	-94.94218	0	-94.94218	10.75607	13.9799
191	1	-434.7689	0	-434.7689	0.8116384	176.5827
192	0	-72.02984	0	-72.02984	10.7469	11.84929
193	1	-417.5059	0	-417.5059	0.8994775	155.5495
194	0	-46.85525	0	-46.85525	14.82338	9.766172
195	1	-396.9881	0	-396.9881	1.063472	133.4991
196	0	-73.52806	0	-73.52806	10.12995	11.94314
197	1	-417.8624	0	-417.8624	0.8673763	156.0685
198	0	-89.046	0	-89.046	9.565716	13.47283
199	1	-390.2809	0	-390.2809	1.043878	127.1784
200	0	-118.1409	0	-118.1409	7.669397	16.75796
201	1	-372.3818	0	-372.3818	1.495392	109.1984
202	0	-156.5375	0	-156.5375	5.862546	22.34748
203	1	-323.7582	0	-323.7582	1.572124	77.22726
204	0	-157.443	0	-157.443	6.244741	22.47784
205	1	-343.0242	0	-343.0242	1.563437	89.5019
206	0	-189.8325	0	-189.8325	4.419794	28.6123
207	1	-325.8474	0	-325.8474	1.601587	78.67246
208	0	-148.7643	0	-148.7643	7.105917	20.9625
209	1	-329.0458	0	-329.0458	1.558911	80.54448
210	0	-181.022	0	-181.022	4.739122	26.79895
211	1	-329.3868	0	-329.3868	1.720542	80.89795
212	0	-219.5699	0	-219.5699	3.787339	35.77086
213	1	-303.7184	0	-303.7184	2.065098	66.87029
214	0	-231.3196	0	-231.3196	3.834895	38.82796
215	1	-303.2666	0	-303.2666	2.279655	66.21322
216	0	-243.4357	0	-243.4357	2.812159	42.43937
217	1	-288.8565	0	-288.8565	2.304299	59.87928
218	0	-209.1847	0	-209.1847	3.756909	33.00804
219	1	-297.4587	0	-297.4587	1.866085	63.33773
220	0	-183.6282	0	-183.6282	4.730829	27.34721
221	1	-319.6181	0	-319.6181	1.95493	74.99721
222	0	-166.294	0	-166.294	5.978722	23.9843
223	1	-310.5614	0	-310.5614	1.962932	70.35776
224	0	-197.9698	0	-197.9698	4.656616	30.40766
225	1	-332.8865	0	-332.8865	1.455735	82.55535
226	0	-157.6961	0	-157.6961	5.816004	22.54212
227	1	-345.7972	0	-345.7972	1.580776	91.2141
228	0	-154.2724	0	-154.2724	5.631305	21.90638
229	1	-368.7087	0	-368.7087	1.202371	108.3172
230	0	-178.9338	0	-178.9338	6.012074	26.07746
231	1	-377.3327	0	-377.3327	1.132712	115.4914
232	0	-140.6013	0	-140.6013	6.301995	19.79488
233	1	-356.1078	0	-356.1078	1.546525	97.99338
234	0	-149.2787	0	-149.2787	5.899563	21.11965
235	1	-354.1629	0	-354.1629	1.363676	97.27699
236	0	-124.3294	0	-124.3294	6.330237	17.23052
237	1	-338.8895	0	-338.8895	1.471489	86.73639
238	0	-78.60353	0	-78.60353	9.891582	12.42389
239	1	-345.1135	0	-345.1135	1.450561	90.94827
240	0	-79.80347	0	-79.80347	11.46095	12.53459
241	1	-320.1868	0	-320.1868	1.797252	75.59411
242	0	-69.91977	0	-69.91977	11.38555	11.67257
243	1	-304.8447	0	-304.8447	1.918163	67.40047
244	0	-90.04483	0	-90.04483	9.932648	13.57989
245	1	-314.8781	0	-314.8781	1.749723	72.55108
246	0	-47.13463	0	-47.13463	12.44713	9.796291
247	1	-282.7207	0	-282.7207	2.439097	57.19003
248	0	-60.05777	0	-60.05777	12.80171	10.82511
249	1	-300.3514	0	-300.3514	2.661598	63.44442
250	0	-1.439907	0	-1.439907	19.17958	6.948148
251	1	-340.5461	0	-340.5461	1.332413	86.99466
252	0	-9.875888	0	-9.875888	15.33642	7.321073
253	1	-353.7746	0	-353.7746	1.480436	96.81832
254	0	-63.67479	0	-63.67479	13.22928	11.07745
255	1	-364.351	0	-364.351	1.272115	104.9259
256	0	-74.75988	0	-74.75988	10.91801	12.10582
257	1	-377.6007	0	-377.6007	1.022899	114.7151
258	0	-90.47962	0	-90.47962	9.887258	13.62459
259	1	-362.6277	0	-362.6277	1.309001	103.5949
260	0	-66.32895	0	-66.32895	10.32028	11.26512
261	1	-357.133	0	-357.133	1.269645	99.23869
262	0	-63.67775	0	-63.67775	12.55772	11.12072
263	1	-375.0834	0	-375.0834	1.306574	113.1291
264	0	-90.96208	0	-90.96208	9.433172	13.66838
265	1	-348.3454	0	-348.3454	1.783343	91.38689
266	0	-69.42653	0	-69.42653	10.99589	11.6209
267	1	-303.5661	0	-303.5661	2.234911	66.47947
268	0	-115.7774	0	-115.7774	8.237317	16.47264
269	1	-274.7185	0	-274.7185	2.52435	53.91912
270	0	-157.5493	0	-157.5493	6.363374	22.47101
271	1	-283.5952	0	-283.5952	2.839976	56.63038
272	0	-155.632	0	-155.632	5.952361	22.19997
273	1	-307.0323	0	-307.0323	1.920219	68.54263
274	0	-135.8206	0	-135.8206	7.177469	19.13659
275	1	-342.9337	0	-342.9337	1.535249	89.49003
276	0	-181.2826	0	-181.2826	5.789302	26.61386
277	1	-300.5326	0	-300.5326	1.681524	63.7786
278	0	-173.7476	0	-173.7476	5.332539	25.417
279	1	-300.6965	0	-300.6965	2.326844	64.9505
280	0	-203.8506	0	-203.8506	4.085652	31.80221
281	1	-232.1643	0	-232.1643	2.97666	38.87462
282	0	-204.962	0	-204.962	3.668682	31.78118
283	1	-237.4528	0	-237.4528	3.498293	40.7912
284	0	-252.4591	0	-252.4591	2.992437	45.68914
285	1	-179.7482	0	-179.7482	5.565416	26.46013
286	0	-238.519	0	-238.519	3.122606	41.15279
287	1	-156.3297	0	-156.3297	5.207946	22.07252
288	0	-255.0381	0	-255.0381	3.01467	46.53768
289	1	-156.5416	0	-156.5416	5.474214	22.25757
290	0	-281.1046	0	-281.1046	2.805966	55.85196
291	1	-159.2865	0	-159.2865	5.295208	22.68751
292	0	-287.4295	0	-287.4295	2.16551	59.19819
293	1	-113.0149	0	-113.0149	7.892448	16.1196
294	0	-305.6611	0	-305.6611	2.067526	67.80789
295	1	-120.476	0	-120.476	7.98445	17.06196
296	0	-309.6652	0	-309.6652	1.756891	69.60127
297	1	-134.0185	0	-134.0185	6.394607	18.78385
298	0	-304.5725	0	-304.5725	1.978368	67.31455
299	1	-135.426	0	-135.426	7.153223	19.0831
300	0	-325.8432	0	-325.8432	1.632934	78.75825
301	1	-152.2644	0	-152.2644	5.941785	21.63267
302	0	-314.3512	0	-314.3512	1.51317	70.61722
303	1	-161.0145	0	-161.0145	5.438441	23.06501
304	0	-373.6879	0	-373.6879	1.250055	112.3611
305	1	-157.6806	0	-157.6806	6.545202	22.44236
306	0	-417.8659	0	-417.8659	0.799572	155.5816
307	1	-141.881	0	-141.881	6.921621	20.01898
308	0	-444.8274	0	-444.8274	0.6784785	190.4471
309	1	-142.6721	0	-142.6721	6.435433	20.1416
310	0	-402.3049	0	-402.3049	0.8766214	138.3062
311	1	-123.0502	0	-123.0502	7.938384	17.388
312	0	-399.5698	0	-399.5698	0.9630411	136.217
313	1	-142.3428	0	-142.3428	6.608346	20.10117
314	0	-382.9897	0	-382.9897	1.104595	120.4856
315	1	-180.3624	0	-180.3624	5.45322	26.6171
316	0	-365.4696	0	-365.4696	1.456294	104.9331
317	1	-194.4941	0	-194.4941	5.046566	29.50515
318	0	-372.2043	0	-372.2043	0.9805752	108.3542
319	1	-189.4593	0	-189.4593	4.72052	28.58025
320	0	-369.0811	0	-369.0811	1.267554	108.6533
321	1	-175.2108	0	-175.2108	4.877472	25.63813
322	0	-314.3428	0	-314.3428	1.791332	72.33357
323	1	-181.5968	0	-181.5968	4.875911	26.94726
324	0	-334.8663	0	-334.8663	1.940521	82.8987
325	1	-231.0343	0	-231.0343	3.140744	38.77985
326	0	-335.3132	0	-335.3132	1.741691	84.26282
327	1	-288.5676	0	-288.5676	2.542436	59.36039
328	0	-293.0088	0	-293.0088	2.331926	61.63811
329	1	-258.871	0	-258.871	3.310998	47.33522
330	0	-270.8052	0	-270.8052	2.455171	52.32223
331	1	-236.6931	0	-236.6931	3.465888	40.59278
332	0	-264.0851	0	-264.0851	2.665367	49.81961
333	1	-233.0501	0	-233.0501	3.250991	39.51065
334	0	-234.791	0	-234.791	3.281954	40.05638
335	1	-246.2842	0	-246.2842	3.952985	42.48347
336	0	-262.429	0	-262.429	2.708259	49.21168
337	1	-287.8087	0	-287.8087	2.835496	58.131
338	0	-284.3687	0	-284.3687	2.08388	57.56689
339	1	-274.1418	0	-274.1418	2.806516	53.36948
340	0	-300.7819	0	-300.7819	2.002859	65.42566
341	1	-280.2836	0	-280.2836	2.223852	56.04045
342	0	-303.6151	0	-303.6151	2.105802	66.77611
343	1	-285.8224	0	-285.8224	2.225449	58.53248
344	0	-266.3656	0	-266.3656	2.783405	50.61943
345	1	-273.7912	0	-273.7912	2.918506	53.00367
346	0	-260.3259	0	-260.3259	2.655099	48.40094
347	1	-249.8449	0	-249.8449	3.168977	44.74965
348	0	-221.2039	0	-221.2039	3.391589	36.05693
349	1	-214.3538	0	-214.3538	4.237059	34.29693
350	0	-216.2624	0	-216.2624	4.368407	34.64004
351	1	-198.2952	0	-198.2952	4.046518	30.41772
352	0	-157.9776	0	-157.9776	5.887	22.59391
353	1	-186.9913	0	-186.9913	4.320345	27.90675
354	0	-173.6504	0	-173.6504	4.885546	25.32176
355	1	-206.1151	0	-206.1151	4.334922	32.3287
356	0	-262.0969	0	-262.0969	2.677838	49.07953
357	1	-210.7113	0	-210.7113	3.891272	33.47279
358	0	-245.7235	0	-245.7235	2.876944	43.34315
359	1	-211.9173	0	-211.9173	3.793752	33.7531
360	0	-254.6556	0	-254.6556	3.187228	46.24487
361	1	-168.9299	0	-168.9299	5.409521	24.51954
362	0	-261.157	0	-261.157	2.685956	48.73277
363	1	-155.3053	0	-155.3053	5.968704	22.14591
364	0	-249.5964	0	-249.5964	2.922081	44.71514
365	1	-161.9897	0	-161.9897	5.922507	23.27175
366	0	-272.0317	0	-272.0317	2.794546	52.63735
367	1	-138.7205	0	-138.7205	6.052179	19.40721
368	0	-276.932	0	-276.932	2.806116	54.36459
369	1	-134.4978	0	-134.4978	6.388683	18.85689
370	0	-253.6556	0	-253.6556	3.29557	45.78388
371	1	-177.2558	0	-177.2558	5.206121	26.09076
372	0	-258.707	0	-258.707	3.528696	46.79233
373	1	-139.1174	0	-139.1174	7.700732	19.4844
374	0	-262.3282	0	-262.3282	2.775489	49.17119
375	1	-151.5851	0	-151.5851	6.155702	21.53929
376	0	-242.5319	0	-242.5319	3.206754	42.43853
377	1	-140.8459	0	-140.8459	6.100681	19.77634
378	0	-206.7368	0	-206.7368	4.249596	32.4966
379	1	-190.3958	0	-190.3958	4.867373	28.75401
380	0	-220.7007	0	-220.7007	4.325488	35.70367
381	1	-231.2612	0	-231.2612	2.965391	38.54591
382	0	-175.6938	0	-175.6938	4.960523	25.76241
383	1	-217.7809	0	-217.7809	4.380682	34.97553
384	0	-200.1338	0	-200.1338	4.392272	30.94617
385	1	-179.3601	0	-179.3601	5.310545	26.47489
386	0	-204.4484	0	-204.4484	4.497714	31.88733
387	1	-158.8758	0	-158.8758	6.022819	22.74028
388	0	-192.4117	0	-192.4117	3.990797	28.9019
389	1	-168.9859	0	-168.9859	6.390224	24.2544
390	0	-176.6722	0	-176.6722	4.997485	25.96671
391	1	-191.5031	0	-191.5031	4.51645	29.0122
392	0	-147.3093	0	-147.3093	5.423779	20.53383
393	1	-195.363	0	-195.363	4.778092	29.81155
394	0	-195.1447	0	-195.1447	4.484835	29.81867
395	1	-205.7502	0	-205.7502	4.654571	32.07994
